Nakshatra on Purnima,Month Name
Chitra,Chaitra
Visakha,Vaisakha
Jyestha,Jyaistha
(Purva & Uttara) Aashaadha,Aashaadha
Sravana,Sraavana
(Uttara & Purva) Bhaadrapada,Bhaadrapada
Asvini,Asvayuja (Aasvina)
Krittika,Kaarthika
Mrugasira,Maarghasira
Pushyami,Pausa (Pushyam)
Maghaa,Maagha
(Uttara and Purva) Phalguni,Phalguna
